Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,25,1000,0.852,1710.0,0.192,7.69,0.0,1.17,1463.8886559794682,25.0,848.388,3
a_fit /µM,25,2500,0.943,1710.0,0.192,19.2,0.0,1.12,1529.2352556619462,25.0,2356.322,2
a_fit /µM,25,2500,0.942,1710.0,0.192,19.2,0.0,1.13,1508.7118519616083,25.0,2354.386,3
a_fit /µM,25,2500,0.944,1700.0,0.192,19.2,0.0,1.09,1560.468844996136,25.0,2359.386,1
a_fit /µM,25,5000,0.973,1690.0,0.192,38.5,0.0,1.08,1566.0563958605549,25.0,4862.7,3
a_fit /µM,25,5000,0.973,1700.0,0.192,38.5,0.0,1.06,1599.8674007179252,25.0,4864.794,2
a_fit /µM,25,5000,0.973,1700.0,0.192,38.5,0.0,1.05,1617.8880746423897,25.0,4866.418,1
a_fit /µM,35,400,0.522,1710.0,0.269,3.08,0.105,1.17,1463.179889124065,21.34,247.978,1
a_fit /µM,35,400,0.645,1700.0,0.269,3.08,0.0461,1.1,1542.6575964628917,29.01,257.146,2
a_fit /µM,35,400,0.59,1700.0,0.269,3.08,0.092,1.17,1456.816029825028,23.052,248.03,3
a_fit /µM,35,450,0.657,1700.0,0.269,3.46,0.0625,1.16,1462.2675179535993,26.882,298.69,1
a_fit /µM,35,450,0.628,1710.0,0.269,3.46,0.0854,1.24,1383.748801077178,23.9,289.29,2
a_fit /µM,35,450,0.687,1690.0,0.269,3.46,0.0316,1.14,1490.77650364313,30.9,302.412,3
a_fit /µM,35,500,0.619,1710.0,0.269,3.85,0.0908,1.18,1452.504528042895,23.202,346.922,1
a_fit /µM,35,500,0.708,1720.0,0.269,3.85,0.049,1.11,1541.482026761122,28.634,355.274,2
a_fit /µM,35,500,0.687,1710.0,0.269,3.85,0.0622,1.15,1488.381347541684,26.92,351.046,3
a_fit /µM,35,1000,0.85,1700.0,0.269,7.69,0.0186,1.18,1435.861494553963,32.588,846.664,1
a_fit /µM,35,1000,0.857,1710.0,0.269,7.69,0.00697,1.14,1500.1630052636056,34.096,852.646,3
a_fit /µM,35,1000,0.853,1700.0,0.269,7.69,0.00457,1.17,1452.5097674224728,34.408,848.268,2
a_fit /µM,35,2500,0.944,1700.0,0.269,19.2,0.0,1.1,1542.5536451612006,35.0,2358.16,3
a_fit /µM,35,2500,0.946,1700.0,0.269,19.2,0.0,1.07,1583.3382079117212,35.0,2361.988,2
a_fit /µM,35,2500,0.944,1580.0,0.269,19.2,0.0,1.1,1430.4080998209154,35.0,2358.02,1
a_fit /µM,35,5000,0.973,1690.0,0.269,38.5,0.0,1.06,1598.697187584448,35.0,4865.176,2
a_fit /µM,35,5000,0.974,1590.0,0.269,38.5,0.0,1.04,1522.7377867956889,35.0,4867.328,3
a_fit /µM,35,5000,0.974,1630.0,0.269,38.5,0.0,1.04,1559.0785677668914,35.0,4867.234,1
a_fit /µM,50,400,0.613,1700.0,0.385,3.08,0.144,1.08,1569.3029938434504,31.32,259.358,1
a_fit /µM,50,400,0.331,1680.0,0.385,3.08,0.242,1.18,1418.737193866992,18.51,245.984,3
a_fit /µM,50,400,0.396,1670.0,0.385,3.08,0.222,1.24,1341.4413713018994,21.168,238.296,2
a_fit /µM,50,450,0.648,1720.0,0.385,3.46,0.134,1.08,1581.9727176505132,32.652,309.15200000000004,1
a_fit /µM,50,450,0.571,1700.0,0.385,3.46,0.171,1.1,1535.2903671702793,27.824,306.45000000000005,3
a_fit /µM,50,450,0.58,1700.0,0.385,3.46,0.169,1.07,1597.429601223973,28.052,311.56399999999996,2
a_fit /µM,50,500,0.644,1700.0,0.385,3.85,0.15,1.15,1475.222532908286,30.484,350.60400000000004,1
a_fit /µM,50,500,0.597,1690.0,0.385,3.85,0.159,1.12,1516.616518081248,29.368,355.05600000000004,3
a_fit /µM,50,500,0.635,1710.0,0.385,3.85,0.179,1.21,1419.282127358434,26.794,343.412,2
a_fit /µM,50,1000,0.816,1700.0,0.385,7.69,0.104,1.14,1499.3849548002097,36.456,852.86,1
a_fit /µM,50,1000,0.853,1700.0,0.385,7.69,0.049,1.11,1534.9093196857737,43.652,856.644,2
a_fit /µM,50,1000,0.852,1710.0,0.385,7.69,0.0572,1.09,1565.1522035144244,42.588,858.5120000000001,3
a_fit /µM,50,2500,0.944,1700.0,0.385,19.2,0.00172,1.1,1537.5834576616307,49.778,2357.918,2
a_fit /µM,50,2500,0.946,1700.0,0.385,19.2,0.0,1.07,1596.4212305253454,50.0,2362.766,3
a_fit /µM,50,2500,0.944,1620.0,0.385,19.2,0.000839,1.1,1473.0613618025604,49.892,2358.564,1
a_fit /µM,50,5000,0.974,1670.0,0.385,38.5,0.00145,1.05,1593.967814608473,49.816,4866.688,3
a_fit /µM,50,5000,0.972,1690.0,0.385,38.5,0.0246,1.05,1608.7930618510866,46.868,4866.242,2
a_fit /µM,50,5000,0.973,1610.0,0.385,38.5,0.0,1.06,1516.049420190571,50.0,4864.958,1
