Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,5,500,0.633,1730.0,0.0385,3.85,0.0,1.43,1213.2556430409988,5.0,314.514,2
a_fit /µM,5,500,0.639,1740.0,0.0385,3.85,0.0,1.4,1236.9406547248268,5.0,317.634,1
a_fit /µM,5,1000,0.835,1730.0,0.0385,7.69,0.0,1.28,1351.3708463044873,5.0,834.268,2
a_fit /µM,5,1000,0.836,1720.0,0.0385,7.69,0.0,1.27,1353.9993257160893,5.0,835.362,3
a_fit /µM,5,1000,0.837,1730.0,0.0385,7.69,0.0,1.27,1362.3788257237468,5.0,835.862,1
a_fit /µM,5,2500,0.941,1710.0,0.0385,19.2,0.0,1.16,1478.6226607116694,5.0,2351.226,1
a_fit /µM,5,2500,0.941,1710.0,0.0385,19.2,0.0,1.14,1496.172761201437,5.0,2352.738,2
a_fit /µM,5,2500,0.941,1710.0,0.0385,19.2,0.0,1.15,1486.514459563744,5.0,2351.816,3
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.0,1.1,1537.2914876450518,5.0,4859.2805907173,1
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.0,1.1,1549.6153493121917,5.0,4860.105494505495,3
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.0,1.09,1557.5529327028637,5.0,4860.835443037975,2
a_fit /µM,10,400,0.566,1730.0,0.0769,3.08,0.0,1.37,1260.6823118087202,10.0,221.982,2
a_fit /µM,10,400,0.569,1720.0,0.0769,3.08,0.0,1.36,1263.7144972920996,10.0,223.312,3
a_fit /µM,10,400,0.571,1710.0,0.0769,3.08,0.0,1.35,1264.7226121803608,10.0,224.03,1
a_fit /µM,10,450,0.614,1720.0,0.0769,3.46,0.0,1.37,1260.2854072517257,10.0,272.258,2
a_fit /µM,10,450,0.612,1730.0,0.0769,3.46,0.0,1.37,1261.5325943630114,10.0,271.72,3
a_fit /µM,10,450,0.62,1720.0,0.0769,3.46,0.0,1.35,1280.0422218756664,10.0,275.0,1
a_fit /µM,10,500,0.656,1730.0,0.0769,3.85,0.0,1.35,1281.50996217207,10.0,324.612,2
a_fit /µM,10,500,0.657,1720.0,0.0769,3.85,0.0,1.35,1274.420009154852,10.0,324.994,3
a_fit /µM,10,500,0.651,1730.0,0.0769,3.85,0.0,1.37,1258.7888325561505,10.0,321.826,1
a_fit /µM,10,1000,0.841,1720.0,0.0769,7.69,0.0,1.24,1392.3113530982614,10.0,839.802,1
a_fit /µM,10,1000,0.839,1720.0,0.0769,7.69,0.0,1.26,1370.816185502497,10.0,837.142,2
a_fit /µM,10,1000,0.839,1720.0,0.0769,7.69,0.0,1.25,1377.6567274700317,10.0,837.862,3
a_fit /µM,10,2500,0.941,1710.0,0.0769,19.2,0.0,1.16,1479.8416984835376,10.0,2351.27,2
a_fit /µM,10,2500,0.941,1710.0,0.0769,19.2,0.0,1.15,1482.536855338022,10.0,2351.542,3
a_fit /µM,10,2500,0.941,1710.0,0.0769,19.2,0.0,1.15,1485.0978242978936,10.0,2351.918,1
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.0,1.09,1560.773009784903,10.0,4861.358241758242,3
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.0,1.09,1556.443003864777,10.0,4860.839662447257,2
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.0,1.11,1533.7459478676446,10.0,4858.96835443038,1
a_fit /µM,25,400,0.672,1700.0,0.192,3.08,0.00168,1.07,1590.882660306943,24.782,261.004,1
a_fit /µM,25,400,0.669,1690.0,0.192,3.08,0.00445,1.08,1569.4761531576455,24.422,260.038,2
a_fit /µM,25,400,0.673,1710.0,0.192,3.08,0.0,1.07,1598.309654544233,25.0,261.19,3
a_fit /µM,25,450,0.698,1700.0,0.192,3.46,0.000277,1.1,1540.552420955266,24.964,306.462,1
a_fit /µM,25,450,0.694,1710.0,0.192,3.46,0.00189,1.12,1532.2902052651718,24.754,305.116,2
a_fit /µM,25,450,0.695,1710.0,0.192,3.46,0.004,1.11,1544.9976712178186,24.48,305.832,3
