Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,50,500,0.589,1740.0,0.385,3.85,0.278,1.46,1193.0482815321654,13.904,310.084,2
a_fit /µM,50,500,0.587,1750.0,0.385,3.85,0.277,1.47,1184.0170650350697,14.088,308.582,3
a_fit /µM,50,500,0.594,1740.0,0.385,3.85,0.274,1.45,1203.338359736861,14.472,312.112,1
a_fit /µM,50,1000,0.816,1720.0,0.385,7.69,0.196,1.3,1328.3106950453775,24.658,831.978,2
a_fit /µM,50,1000,0.816,1720.0,0.385,7.69,0.198,1.29,1336.1375061090644,24.346,832.876,3
a_fit /µM,50,1000,0.818,1720.0,0.385,7.69,0.195,1.28,1345.9709598820791,24.798,834.068,1
a_fit /µM,50,2500,0.935,1710.0,0.385,19.2,0.109,1.17,1457.5412747671428,36.018,2349.474,1
a_fit /µM,50,2500,0.936,1710.0,0.385,19.2,0.109,1.15,1476.9713664705764,35.928,2351.488,2
a_fit /µM,50,2500,0.937,1710.0,0.385,19.2,0.0972,1.14,1491.1593454996107,37.502,2352.832,3
a_fit /µM,50,5000,0.972,1700.0,0.385,38.5,0.0407,1.08,1568.7251652986274,44.82857142857143,4862.347252747253,1
a_fit /µM,50,5000,0.971,1700.0,0.385,38.5,0.0474,1.1,1551.1086254616114,43.970464135021096,4860.763713080169,3
a_fit /µM,50,5000,0.971,1700.0,0.385,38.5,0.0565,1.1,1548.6862081560216,42.81856540084388,4860.4071729957805,2
